iter	Logloss
0	0.4795175523
1	0.3376336272
2	0.235279346
3	0.1656077241
4	0.1155662434
5	0.08383616091
6	0.05934612198
7	0.04295761303
8	0.03222353038
9	0.02433813732
10	0.01865584403
11	0.0144509602
12	0.01140483969
13	0.008852734669
14	0.007140565248
15	0.005708086077
16	0.004578466203
17	0.003744835007
18	0.003104009714
19	0.002611391951
20	0.002185628091
21	0.001860274505
22	0.001603814184
23	0.001399124754
24	0.001233098771
25	0.001096851097
26	0.0009794564178
27	0.0008786294938
28	0.0007960951543
29	0.0007223076566
30	0.0006625412933
31	0.0006214339215
32	0.0005847227552
33	0.0005433766494
34	0.000505681902
35	0.000472172317
36	0.000452241933
37	0.0004343337699
38	0.0004176593041
39	0.0004021852521
40	0.000387711529
41	0.0003690967136
42	0.0003512907483
43	0.0003429708487
44	0.0003350205611
45	0.0003218898299
46	0.000307762384
47	0.0003012628738
48	0.0002950471218
49	0.000284277282
50	0.0002743868669
51	0.0002650524448
52	0.0002623761723
53	0.000253380774
54	0.0002509519881
55	0.0002485890222
56	0.0002462707726
57	0.000244037978
58	0.0002418033057
59	0.0002396059399
60	0.0002373951729
61	0.0002352744238
62	0.0002331476985
63	0.0002310948593
64	0.0002290592725
65	0.0002237818755
66	0.0002191415351
67	0.0002140359618
68	0.0002140359618
69	0.0002140359618
70	0.0002140359618
71	0.0002088036546
72	0.0002088036546
73	0.0002088036546
74	0.0002088036546
75	0.0002088036546
76	0.0002088036546
77	0.0002088036546
78	0.0002088036546
79	0.0002088036546
80	0.0002088045077
81	0.000204767067
82	0.000204767067
83	0.0002047604799
84	0.0002047604799
85	0.0002047604799
86	0.0002047604799
87	0.000204754857
88	0.000204754857
89	0.0002047490119
90	0.0002047424249
91	0.0002047424249
92	0.0002047424249
93	0.0002047442975
94	0.0002047416172
95	0.0002047416172
96	0.0002015426759
97	0.0002015389356
98	0.00020153356
99	0.000201531122
100	0.000201531122
101	0.000201531122
102	0.000201531122
103	0.000201531122
104	0.000201531122
105	0.000201531122
106	0.000201531122
107	0.000201531122
108	0.000201531122
109	0.000201531122
110	0.000201531122
111	0.000201531122
112	0.000201531122
113	0.000201531122
114	0.000201531122
115	0.000201531122
116	0.000201531122
117	0.000201531122
118	0.000201531122
119	0.0002015288355
